,palette_number,page_number,likes,date_posted,block1,block2,block3,block4,block5,block6
0,23271,1,1,43 minutes ago,spruce_log,andesite,dark_oak_planks,spruce_planks,redstone_lamp,cobblestone
1,23270,1,2,3 hours ago,deepslate_tiles,stone_bricks,mossy_stone_bricks,cracked_deepslate_tiles,cracked_stone_bricks,azalea_leaves
2,23269,1,1,6 hours ago,andesite,stone,stone_bricks,tuff,cobbled_deepslate,deepslate_bricks
3,23268,1,2,6 hours ago,amethyst_block,deepslate_bricks,oak_planks,oak_leaves,calcite,stripped_oak_log
4,23267,1,2,8 hours ago,flowering_azalea_leaves,magenta_concrete,magenta_concrete_powder,stripped_birch_log,magenta_glazed_terracotta,birch_planks
5,23266,1,3,11 hours ago,moss_block,dark_oak_planks,stripped_dark_oak_log,oxidized_copper,honeycomb_block,dark_oak_leaves
6,23265,1,2,13 hours ago,blue_concrete_powder,stone_bricks,deepslate_bricks,black_stained_glass,smooth_stone,blue_glazed_terracotta
7,23264,1,2,14 hours ago,stone,andesite,cobblestone,deepslate_bricks,white_concrete,polished_deepslate
8,23263,1,1,14 hours ago,oak_planks,jungle_planks,stripped_dark_oak_log,stripped_spruce_log,dark_oak_planks,deepslate_tiles
9,23262,1,1,15 hours ago,spruce_log,spruce_planks,deepslate_tiles,deepslate_bricks,stripped_warped_stem,stone_bricks
10,23261,1,4,17 hours ago,mossy_cobblestone,tuff,bricks,moss_block,flowering_azalea_leaves,polished_granite
11,23260,1,4,17 hours ago,dark_oak_planks,brown_glazed_terracotta,jungle_planks,brown_stained_glass,cyan_concrete,cyan_stained_glass
12,23259,1,0,20 hours ago,amethyst_block,quartz_bricks,smooth_sandstone,quartz_pillar,white_stained_glass,dark_oak_planks
13,23258,1,0,1 day ago,exposed_copper,granite,dripstone_block,acacia_planks,quartz_block,black_stained_glass
14,23257,1,4,1 day ago,jungle_planks,dripstone_block,granite,deepslate_tiles,oak_log,cobbled_deepslate
15,23256,1,5,1 day ago,spruce_planks,moss_block,stripped_dark_oak_log,mossy_cobblestone,stone_bricks,barrel
16,23255,1,2,1 day ago,amethyst_block,purpur_pillar,crimson_planks,basalt,polished_blackstone_bricks,obsidian
17,23254,1,1,1 day ago,blackstone,polished_blackstone_bricks,blue_terracotta,deepslate,deepslate_bricks,purple_stained_glass
18,23253,1,0,1 day ago,light_blue_concrete,stripped_warped_stem,oxidized_copper,yellow_concrete,gold_block,yellow_wool
19,23252,1,2,1 day ago,obsidian,redstone_ore,red_nether_bricks,crimson_stem,redstone_block,cracked_nether_bricks
20,23251,1,3,1 day ago,stone,andesite,cobblestone,diorite,light_gray_wool,light_gray_concrete_powder
21,23250,2,2,1 day ago,mushroom_stem,stripped_dark_oak_log,moss_block,andesite,birch_planks,pumpkin
22,23249,2,6,1 day ago,mossy_cobblestone,moss_block,azalea_leaves,cobblestone,andesite,stone
23,23248,2,4,2 days ago,yellow_terracotta,honeycomb_block,spruce_planks,light_blue_terracotta,barrel,dark_oak_log
24,23247,2,4,2 days ago,smooth_sandstone,stripped_warped_stem,stone_bricks,stripped_spruce_log,spruce_planks,spruce_log
25,23246,2,2,2 days ago,oak_log,azalea_leaves,spruce_planks,oak_leaves,oak_planks,flowering_azalea_leaves
26,23245,2,2,2 days ago,end_stone,raw_copper_block,bricks,light_blue_terracotta,oxidized_copper,pink_terracotta
27,23244,2,3,2 days ago,warped_planks,stripped_spruce_log,flowering_azalea_leaves,stripped_oak_log,mossy_stone_bricks,barrel
28,23243,2,2,2 days ago,stripped_warped_stem,warped_planks,quartz_block,dark_oak_log,spruce_planks,honeycomb_block
29,23242,2,3,2 days ago,oak_planks,white_stained_glass,azalea_leaves,bricks,white_terracotta,stripped_oak_log
30,23241,2,12,2 days ago,yellow_glazed_terracotta,spruce_planks,stripped_spruce_log,oak_planks,yellow_terracotta,barrel
31,23240,2,2,2 days ago,white_terracotta,dark_oak_planks,stripped_crimson_stem,brown_mushroom_block,gold_block,crimson_planks
32,23239,2,2,2 days ago,cut_sandstone,chiseled_sandstone,chiseled_quartz_block,cut_red_sandstone,chiseled_red_sandstone,quartz_bricks
33,23238,2,6,2 days ago,deepslate_bricks,mossy_stone_bricks,chiseled_stone_bricks,cobbled_deepslate,dark_oak_log,lime_stained_glass
34,23237,2,11,3 days ago,mossy_cobblestone,spruce_log,green_terracotta,andesite,moss_block,jungle_log
35,23236,2,2,3 days ago,end_stone,bricks,warped_planks,oxidized_copper,purpur_block,pink_terracotta
36,23235,2,2,3 days ago,black_concrete_powder,blackstone,bone_block,blast_furnace,cobbled_deepslate,calcite
37,23234,2,1,3 days ago,mossy_cobblestone,jungle_log,jungle_planks,exposed_cut_copper,quartz_pillar,stripped_jungle_log
38,23233,2,3,3 days ago,prismarine,dark_prismarine,warped_planks,warped_wart_block,stripped_warped_stem,prismarine_bricks
39,23232,2,0,3 days ago,jungle_log,brown_mushroom_block,crimson_planks,polished_blackstone_bricks,warped_stem,lime_terracotta
40,23231,2,10,4 days ago,sandstone,smooth_sandstone,red_mushroom_block,stripped_spruce_log,spruce_planks,white_wool
41,23230,2,5,4 days ago,acacia_leaves,lime_terracotta,green_concrete,composter,mossy_stone_bricks,deepslate
42,23229,3,1,4 days ago,ancient_debris,soul_soil,jungle_planks,nether_bricks,loom,bone_block
43,23228,3,0,4 days ago,jungle_leaves,white_terracotta,warped_planks,bricks,jungle_planks,white_stained_glass
44,23227,3,2,4 days ago,nether_bricks,cobbled_deepslate,warped_stem,shroomlight,polished_deepslate,purple_terracotta
45,23226,3,11,4 days ago,moss_block,red_mushroom_block,spruce_log,stone_bricks,mossy_stone_bricks,dark_oak_planks
46,23225,3,0,4 days ago,stripped_acacia_log,gold_block,oxidized_cut_copper,quartz_block,dark_oak_planks,quartz_bricks
47,23224,3,3,4 days ago,amethyst_block,raw_gold_block,dead_tube_coral_block,purple_stained_glass,yellow_terracotta,polished_diorite
48,23223,3,4,4 days ago,stripped_acacia_log,copper_block,exposed_copper,weathered_copper,oxidized_copper,stripped_warped_stem
49,23222,3,3,4 days ago,calcite,bricks,terracotta,oak_log,stripped_oak_log,quartz_block
50,23221,3,6,4 days ago,barrel,spruce_planks,azalea_leaves,shroomlight,moss_block,yellow_terracotta
51,23220,3,3,4 days ago,flowering_azalea_leaves,pink_concrete,pink_terracotta,quartz_block,dark_oak_log,white_stained_glass
52,23219,3,1,4 days ago,stone_bricks,birch_planks,stripped_birch_log,spruce_planks,moss_block,oak_leaves
53,23218,3,1,4 days ago,stone_bricks,birch_planks,stripped_birch_log,granite,bricks,spruce_planks
54,23217,3,5,4 days ago,deepslate_bricks,oxidized_copper,polished_deepslate,warped_stem,deepslate_tiles,warped_planks
55,23216,3,0,4 days ago,oxidized_cut_copper,gold_block,stripped_acacia_log,quartz_block,shroomlight,quartz_bricks
56,23215,3,3,4 days ago,prismarine_bricks,white_stained_glass,prismarine,sand,sea_lantern,quartz_pillar
57,23214,3,1,4 days ago,dark_prismarine,prismarine_bricks,chiseled_sandstone,stone,polished_andesite,chiseled_stone_bricks
58,23213,3,0,4 days ago,amethyst_block,cyan_concrete_powder,cut_sandstone,shroomlight,smooth_sandstone,warped_stem
59,23212,3,5,4 days ago,spruce_log,spruce_planks,stone_bricks,mossy_stone_bricks,black_stained_glass,redstone_lamp
60,23211,3,3,4 days ago,end_stone_bricks,warped_planks,purpur_block,chorus_plant,purple_stained_glass,sandstone
61,23210,3,1,4 days ago,sandstone,smooth_sandstone,stripped_birch_log,chiseled_sandstone,stripped_oak_log,brown_mushroom_block
62,23209,3,1,5 days ago,calcite,redstone_lamp,bricks,oak_log,stripped_oak_log,terracotta
63,23208,4,1,5 days ago,polished_andesite,oak_planks,stripped_oak_log,stone,light_blue_concrete_powder,light_blue_concrete
64,23207,4,0,5 days ago,acacia_planks,dark_oak_planks,stripped_spruce_log,smooth_sandstone,stone_bricks,gray_concrete
65,23206,4,0,5 days ago,oak_log,birch_planks,spruce_leaves,pink_wool,stone_bricks,glass
66,23205,4,5,5 days ago,stripped_crimson_stem,purple_terracotta,magenta_terracotta,black_concrete_powder,blackstone,deepslate_tiles
67,23204,4,1,5 days ago,spruce_log,stripped_dark_oak_log,dark_oak_planks,calcite,tuff,acacia_planks
68,23203,4,0,5 days ago,terracotta,red_terracotta,blue_terracotta,gray_terracotta,orange_terracotta,spruce_planks
69,23202,4,1,5 days ago,deepslate_bricks,copper_block,polished_deepslate,crimson_stem,deepslate_tiles,crimson_planks
70,23201,4,2,5 days ago,stone_bricks,mossy_stone_bricks,cracked_stone_bricks,dark_oak_planks,sea_lantern,white_stained_glass
71,23200,4,0,5 days ago,bricks,quartz_bricks,spruce_planks,crimson_planks,birch_planks,smooth_basalt
72,23199,4,2,5 days ago,stripped_oak_log,stripped_spruce_log,stripped_dark_oak_log,white_terracotta,light_gray_terracotta,terracotta
73,23198,4,0,5 days ago,gray_glazed_terracotta,blackstone,polished_blackstone_bricks,composter,stripped_dark_oak_log,tuff
74,23197,4,0,5 days ago,sand,smooth_sandstone,stripped_spruce_log,birch_planks,sandstone,spruce_planks
75,23196,4,6,5 days ago,dark_oak_log,spruce_planks,bone_block,moss_block,green_terracotta,polished_blackstone_bricks
76,23195,4,1,5 days ago,calcite,smooth_sandstone,acacia_planks,flowering_azalea_leaves,moss_block,cut_copper
77,23194,4,0,5 days ago,yellow_terracotta,stripped_oak_log,beehive_top,yellow_concrete_powder,brown_mushroom_block,barrel
78,23193,4,1,5 days ago,warped_stem,warped_planks,weathered_copper,stripped_acacia_log,glass,cyan_wool
79,23192,4,3,5 days ago,amethyst_block,purple_stained_glass,blackstone,obsidian,stripped_birch_log,purple_glazed_terracotta
80,23191,4,3,5 days ago,azalea_leaves,magenta_terracotta,smooth_basalt,spruce_planks,stripped_crimson_stem,deepslate_bricks
